rmd_path,fig_id,fig_src,fig_url,ext,fig_path
02-the-origin-of-earth-and-the-solar-system.Rmd,figure-2-9,https://openpress.usask.ca/app/uploads/sites/29/2018/01/Solar_system_v2.png,https://openpress.usask.ca/app/uploads/sites/29/2018/01/Solar_system_v2.png,png,figures/02-the-origin-of-earth-and-the-solar-system/figure-2-9.png
02-the-origin-of-earth-and-the-solar-system.Rmd,figure-2-10,https://openpress.usask.ca/app/uploads/sites/29/2017/05/22.10-e1441140386417.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/22.10-e1441140386417.png,png,figures/02-the-origin-of-earth-and-the-solar-system/figure-2-10.png
02-the-origin-of-earth-and-the-solar-system.Rmd,figure-2-11,https://openpress.usask.ca/app/uploads/sites/29/2017/05/22.11.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/22.11.png,png,figures/02-the-origin-of-earth-and-the-solar-system/figure-2-11.png
03-earths-interior.Rmd,figure-3-1,https://openpress.usask.ca/app/uploads/sites/29/2018/03/Tablelands.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/Tablelands.png,png,figures/03-earths-interior/figure-3-1.png
03-earths-interior.Rmd,figure-3-2,https://openpress.usask.ca/app/uploads/sites/29/2018/03/Tablelands-ophiolite-1024x660.jpeg,https://openpress.usask.ca/app/uploads/sites/29/2018/03/Tablelands-ophiolite-1024x660.jpeg,jpeg,figures/03-earths-interior/figure-3-2.jpeg
03-earths-interior.Rmd,figure-3-3,https://openpress.usask.ca/app/uploads/sites/29/2018/03/MdeToulouse_pallasite-1024x768.jpg,https://openpress.usask.ca/app/uploads/sites/29/2018/03/MdeToulouse_pallasite-1024x768.jpg,jpg,figures/03-earths-interior/figure-3-3.jpg
03-earths-interior.Rmd,figure-3-4,https://openpress.usask.ca/app/uploads/sites/29/2018/03/earth_interior-1024x617.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/earth_interior-1024x617.png,png,figures/03-earths-interior/figure-3-4.png
03-earths-interior.Rmd,figure-3-5,https://openpress.usask.ca/app/uploads/sites/29/2018/03/JSt_John_eclogite-1024x557.jpg,https://openpress.usask.ca/app/uploads/sites/29/2018/03/JSt_John_eclogite-1024x557.jpg,jpg,figures/03-earths-interior/figure-3-5.jpg
03-earths-interior.Rmd,figure-3-6,https://openpress.usask.ca/app/uploads/sites/29/2018/03/ray_path-1024x365.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/ray_path-1024x365.png,png,figures/03-earths-interior/figure-3-6.png
03-earths-interior.Rmd,figure-3-7,https://openpress.usask.ca/app/uploads/sites/29/2018/03/moho_SE-1024x244.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/moho_SE-1024x244.png,png,figures/03-earths-interior/figure-3-7.png
03-earths-interior.Rmd,figure-3-8,https://openpress.usask.ca/app/uploads/sites/29/2018/03/shadow-2-SE-1024x480.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/shadow-2-SE-1024x480.png,png,figures/03-earths-interior/figure-3-8.png
03-earths-interior.Rmd,figure-3-9,https://openpress.usask.ca/app/uploads/sites/29/2018/03/seismic_profile-1024x692.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/seismic_profile-1024x692.png,png,figures/03-earths-interior/figure-3-9.png
03-earths-interior.Rmd,figure-3-10,https://openpress.usask.ca/app/uploads/sites/29/2018/03/Cocos_slab-1024x522.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/Cocos_slab-1024x522.png,png,figures/03-earths-interior/figure-3-10.png
03-earths-interior.Rmd,figure-3-11,https://openpress.usask.ca/app/uploads/sites/29/2018/03/geothermal_gradient-1024x700.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/geothermal_gradient-1024x700.png,png,figures/03-earths-interior/figure-3-11.png
03-earths-interior.Rmd,figure-3-12,https://openpress.usask.ca/app/uploads/sites/29/2018/03/convection_soup_pot-300x108.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/convection_soup_pot-300x108.png,png,figures/03-earths-interior/figure-3-12.png
03-earths-interior.Rmd,figure-3-13,https://openpress.usask.ca/app/uploads/sites/29/2018/03/mantle_convection-1024x435.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/mantle_convection-1024x435.png,png,figures/03-earths-interior/figure-3-13.png
03-earths-interior.Rmd,figure-3-14,https://openpress.usask.ca/app/uploads/sites/29/2018/03/radio_heat_SE.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/radio_heat_SE.png,png,figures/03-earths-interior/figure-3-14.png
03-earths-interior.Rmd,figure-3-15,https://openpress.usask.ca/app/uploads/sites/29/2018/03/magnetic_field.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/magnetic_field.png,png,figures/03-earths-interior/figure-3-15.png
03-earths-interior.Rmd,figure-3-16,https://openpress.usask.ca/app/uploads/sites/29/2018/03/paleomag_reversals_SE-1024x153.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/paleomag_reversals_SE-1024x153.png,png,figures/03-earths-interior/figure-3-16.png
03-earths-interior.Rmd,figure-3-17,https://openpress.usask.ca/app/uploads/sites/29/2018/03/NASA_54559main_comparison1_strip.gif,https://openpress.usask.ca/app/uploads/sites/29/2018/03/NASA_54559main_comparison1_strip.gif,gif,figures/03-earths-interior/figure-3-17.gif
03-earths-interior.Rmd,figure-3-18,https://openpress.usask.ca/app/uploads/sites/29/2018/03/isostasy_raft_SE-1024x253.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/isostasy_raft_SE-1024x253.png,png,figures/03-earths-interior/figure-3-18.png
03-earths-interior.Rmd,figure-3-19,https://openpress.usask.ca/app/uploads/sites/29/2018/03/isostasy_rebound.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/isostasy_rebound.png,png,figures/03-earths-interior/figure-3-19.png
03-earths-interior.Rmd,figure-3-20,https://openpress.usask.ca/app/uploads/sites/29/2018/03/glacial_rebound_greenland-633x1024.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/glacial_rebound_greenland-633x1024.png,png,figures/03-earths-interior/figure-3-20.png
03-earths-interior.Rmd,figure-3-21,https://openpress.usask.ca/app/uploads/sites/29/2018/03/rebound_rates_SE-1024x704.png,https://openpress.usask.ca/app/uploads/sites/29/2018/03/rebound_rates_SE-1024x704.png,png,figures/03-earths-interior/figure-3-21.png
03-earths-interior.Rmd,figure-3-22,https://openpress.usask.ca/app/uploads/sites/29/2018/03/Skiff_sillyputty.jpg,https://openpress.usask.ca/app/uploads/sites/29/2018/03/Skiff_sillyputty.jpg,jpg,figures/03-earths-interior/figure-3-22.jpg
04-plate-tectonics.Rmd,figure-4-1,https://openpress.usask.ca/app/uploads/sites/29/2018/08/Thingvellir_rift-1024x330.png,https://openpress.usask.ca/app/uploads/sites/29/2018/08/Thingvellir_rift-1024x330.png,png,figures/04-plate-tectonics/figure-4-1.png
04-plate-tectonics.Rmd,figure-4-2,https://openpress.usask.ca/app/uploads/sites/29/2017/05/Wegener_Expedition-1930_008.jpg,https://openpress.usask.ca/app/uploads/sites/29/2017/05/Wegener_Expedition-1930_008.jpg,jpg,figures/04-plate-tectonics/figure-4-2.jpg
04-plate-tectonics.Rmd,figure-4-3,https://openpress.usask.ca/app/uploads/sites/29/2017/05/Snider-Pellegrini_Wegener_fossil_map.gif,https://openpress.usask.ca/app/uploads/sites/29/2017/05/Snider-Pellegrini_Wegener_fossil_map.gif,gif,figures/04-plate-tectonics/figure-4-3.gif
04-plate-tectonics.Rmd,figure-4-4,https://openpress.usask.ca/app/uploads/sites/29/2018/08/Wegener_rocktypes.png,https://openpress.usask.ca/app/uploads/sites/29/2018/08/Wegener_rocktypes.png,png,figures/04-plate-tectonics/figure-4-4.png
04-plate-tectonics.Rmd,figure-4-5,https://openpress.usask.ca/app/uploads/sites/29/2018/08/Scotese_KarooGlaciation.png,https://openpress.usask.ca/app/uploads/sites/29/2018/08/Scotese_KarooGlaciation.png,png,figures/04-plate-tectonics/figure-4-5.png
04-plate-tectonics.Rmd,figure-4-6,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image0092.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image0092.png,png,figures/04-plate-tectonics/figure-4-6.png
04-plate-tectonics.Rmd,figure-4-7,https://openpress.usask.ca/app/uploads/sites/29/2018/08/Kuenen_geosyncline.png,https://openpress.usask.ca/app/uploads/sites/29/2018/08/Kuenen_geosyncline.png,png,figures/04-plate-tectonics/figure-4-7.png
04-plate-tectonics.Rmd,figure-4-8,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image0111.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image0111.png,png,figures/04-plate-tectonics/figure-4-8.png
04-plate-tectonics.Rmd,figure-4-9,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image0151.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image0151.png,png,figures/04-plate-tectonics/figure-4-9.png
04-plate-tectonics.Rmd,figure-4-10,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image0131.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image0131.png,png,figures/04-plate-tectonics/figure-4-10.png
04-plate-tectonics.Rmd,figure-4-11,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image0171.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image0171.png,png,figures/04-plate-tectonics/figure-4-11.png
04-plate-tectonics.Rmd,figure-4-12,https://openpress.usask.ca/app/uploads/sites/29/2017/05/bathymetry.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/bathymetry.png,png,figures/04-plate-tectonics/figure-4-12.png
04-plate-tectonics.Rmd,figure-4-13,https://openpress.usask.ca/app/uploads/sites/29/2017/05/sedthick9.jpg,https://openpress.usask.ca/app/uploads/sites/29/2017/05/sedthick9.jpg,jpg,figures/04-plate-tectonics/figure-4-13.jpg
04-plate-tectonics.Rmd,figure-4-14,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image023_2.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image023_2.png,png,figures/04-plate-tectonics/figure-4-14.png
04-plate-tectonics.Rmd,figure-4-15,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image0251.png,https://openpress.usask.ca/app/uploads/sites/29/2017/05/image0251.png,png,figures/04-plate-tectonics/figure-4-15.png
